name,problem,n_qubo_vars,n_ising_spins,within_cim_550,raw_min,raw_max,bit8_min,bit8_max,bit8_nnz,dense_csv,dense_size_KB,coo_csv,coo_size_KB,purpose
q1,Q1,225,226,True,-400.0,400.0,-56,40,3375,q1_dense.csv,102.6,q1_coo.csv,36.6,Q1: n=15 单车 TSP，QUBO 仅含距离 + one-hot 罚
q2,Q2,225,226,True,-400.0,400.0,-56,40,3375,q2_dense.csv,102.6,q2_coo.csv,36.6,Q2: n=15 单车 + 时间窗。方案 C：QUBO 同 Q1 结构（仅 one-hot+距离），时间窗在解码后评估
q3_seg1,Q3,289,290,True,-400.0,400.0,-8,32,4913,q3_seg1_dense.csv,168.2,q3_seg1_coo.csv,53.9,Q3: n=50 滚动窗口分解第 1/3 段（段前节点 0 → 段后节点 42）
q3_seg2,Q3,289,290,True,-400.0,400.0,-8,32,4913,q3_seg2_dense.csv,168.2,q3_seg2_coo.csv,53.9,Q3: n=50 滚动窗口分解第 2/3 段（段前节点 37 → 段后节点 20）
q3_seg3,Q3,256,257,True,-400.0,400.0,0,32,4096,q3_seg3_dense.csv,132.2,q3_seg3_coo.csv,44.6,Q3: n=50 滚动窗口分解第 3/3 段（段前节点 32 → 段后节点 0）
q4_v1,Q4,49,50,True,-400.0,400.0,-120,104,343,q4_v1_dense.csv,5.5,q4_v1_coo.csv,3.6,Q4: 多车 K=7 第 1/7 辆车（depot → 客户 → depot）
q4_v2,Q4,49,50,True,-400.0,400.0,-120,104,343,q4_v2_dense.csv,5.5,q4_v2_coo.csv,3.6,Q4: 多车 K=7 第 2/7 辆车（depot → 客户 → depot）
q4_v3,Q4,64,65,True,-400.0,400.0,-56,80,512,q4_v3_dense.csv,8.6,q4_v3_coo.csv,4.9,Q4: 多车 K=7 第 3/7 辆车（depot → 客户 → depot）
q4_v4,Q4,49,50,True,-400.0,400.0,-120,104,343,q4_v4_dense.csv,5.5,q4_v4_coo.csv,3.6,Q4: 多车 K=7 第 4/7 辆车（depot → 客户 → depot）
q4_v5,Q4,49,50,True,-400.0,400.0,-120,104,343,q4_v5_dense.csv,5.5,q4_v5_coo.csv,3.6,Q4: 多车 K=7 第 5/7 辆车（depot → 客户 → depot）
q4_v6,Q4,49,50,True,-400.0,400.0,-116,104,343,q4_v6_dense.csv,5.5,q4_v6_coo.csv,3.6,Q4: 多车 K=7 第 6/7 辆车（depot → 客户 → depot）
q4_v7,Q4,49,50,True,-400.0,400.0,-116,104,343,q4_v7_dense.csv,5.5,q4_v7_coo.csv,3.6,Q4: 多车 K=7 第 7/7 辆车（depot → 客户 → depot）
