序号,总时间,路径
1,29,0 -> 4 -> 12 -> 3 -> 9 -> 1 -> 10 -> 11 -> 7 -> 8 -> 5 -> 6 -> 14 -> 15 -> 2 -> 13 -> 0
2,29,0 -> 4 -> 12 -> 3 -> 9 -> 1 -> 10 -> 11 -> 7 -> 8 -> 5 -> 14 -> 15 -> 2 -> 13 -> 6 -> 0
3,29,0 -> 6 -> 5 -> 8 -> 7 -> 11 -> 10 -> 1 -> 9 -> 3 -> 12 -> 4 -> 2 -> 15 -> 14 -> 13 -> 0
4,29,0 -> 6 -> 5 -> 8 -> 7 -> 11 -> 10 -> 1 -> 9 -> 3 -> 12 -> 4 -> 14 -> 15 -> 2 -> 13 -> 0
5,29,0 -> 6 -> 5 -> 8 -> 7 -> 11 -> 10 -> 1 -> 9 -> 3 -> 12 -> 4 -> 15 -> 14 -> 2 -> 13 -> 0
6,29,0 -> 6 -> 13 -> 2 -> 15 -> 14 -> 5 -> 8 -> 7 -> 11 -> 10 -> 1 -> 9 -> 3 -> 12 -> 4 -> 0
7,29,0 -> 13 -> 2 -> 14 -> 15 -> 4 -> 12 -> 3 -> 9 -> 1 -> 10 -> 11 -> 7 -> 8 -> 5 -> 6 -> 0
8,29,0 -> 13 -> 2 -> 15 -> 14 -> 4 -> 12 -> 3 -> 9 -> 1 -> 10 -> 11 -> 7 -> 8 -> 5 -> 6 -> 0
9,29,0 -> 13 -> 2 -> 15 -> 14 -> 6 -> 5 -> 8 -> 7 -> 11 -> 10 -> 1 -> 9 -> 3 -> 12 -> 4 -> 0
10,29,0 -> 13 -> 14 -> 15 -> 2 -> 4 -> 12 -> 3 -> 9 -> 1 -> 10 -> 11 -> 7 -> 8 -> 5 -> 6 -> 0
